Source,Domain,RSS,Full Name,Short Name,Last Link,Image
FOX,Technology,http://feeds.foxnews.com/foxnews/scitech,FOX - Technology,FOX_TE,http://feeds.foxnews.com/~r/foxnews/scitech/~3/xO2jT9zJ7yg/chimps-rock-music-throwing-stones-at-trees,https://stogaccytc001.blob.core.windows.net/images/FOX.png
Al Jazeera,Top Stories,https://www.aljazeera.com/xml/rss/all.xml,ALJ - Top Stories,ALJ_TS,https://www.aljazeera.com/news/2019/12/zealand-gun-buyback-started-mosque-shootings-191220024828608.html,https://stogaccytc001.blob.core.windows.net/images/ALJ.jpeg
Edmonton Journal,Opinions,https://edmontonjournal.com/category/opinion/feed,Edmonton Journal - Opinion,EDJ_O,https://edmontonjournal.com/opinion/columnists/opinion-what-pipeline-opponents-get-wrong-about-canadas-climate-impact,https://stogaccytc001.blob.core.windows.net/images/EdmontonJournal.jpg
Daily Mail,Technology,http://www.dailymail.co.uk/sciencetech/index.rss,Daily Mail - Technology,DAM_TE,https://www.dailymail.co.uk/sciencetech/article-7811739/Higher-CO2-levels-hinder-ability-think-decrease-decision-making-efficiency.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,https://stogaccytc001.blob.core.windows.net/images/DailyMail.png
The Guardian,Technology,https://www.theguardian.com/uk/technology/rss,The Guardian - Technology,TGA_TE,https://www.theguardian.com/technology/askjack/2019/dec/19/how-can-i-get-better-at-using-google-search,https://stogaccytc001.blob.core.windows.net/images/Guardian.png
Yahoo,Technology,https://www.yahoo.com/tech/rss,Yahoo - Technology,YAH_TE,https://www.engadget.com/2019-12-19-honda-augmented-driving-concept.html,https://stogaccytc001.blob.core.windows.net/images/yahoo.jpg
NBC News,Top Stories,http://feeds.nbcnews.com/feeds/topstories,NBC News - Top Stories,NBC_TS,https://www.nbcnews.com/politics/trump-impeachment-inquiry/mcconnell-says-pelosi-too-afraid-send-impeachment-articles-senate-n1104856?cid=public-rss_20191220,https://stogaccytc001.blob.core.windows.net/images/NBC.png
The Independent,Business,http://www.independent.co.uk/news/business/rss,The Independent - Business,TID_BS,https://www.independent.co.uk/news/business/bank-of-england-new-governor-andrew-bailey-financial-conduct-authority-a9254376.html,https://stogaccytc001.blob.core.windows.net/images/independent-logo.jpg
Daily Mail,Health,http://www.dailymail.co.uk/health/index.rss,Daily Mail - Health,DAM_HL,https://www.dailymail.co.uk/health/article-7810153/Dont-sit-upholstered-chair-hotel-room-contain-hidden-dust-dander.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,https://stogaccytc001.blob.core.windows.net/images/DailyMail.png
Science Daily,Health,http://www.sciencedaily.com/rss/top/health.xml,Science Daily - Health,SCD_HL,https://www.sciencedaily.com/releases/2019/12/191219142739.htm,https://stogaccytc001.blob.core.windows.net/images/ScinceDa.png
Reuters,World,http://feeds.reuters.com/reuters/worldNews,Reuters - World,REU_W,http://feeds.reuters.com/~r/Reuters/worldNews/~3/psEnEpHzqAU/australian-leader-curtails-holiday-as-firefighters-killed-in-huge-blazes-idUSKBN1YN2Q3,https://stogaccytc001.blob.core.windows.net/images/rie.jpg
CBS News,World,http://www.cbsnews.com/latest/rss/world,CBS News - World,CSB_W,https://www.cbsnews.com/news/ukrainians-thoughts-on-trumps-impeachment-many-dont-care-or-know/,https://stogaccytc001.blob.core.windows.net/images/CBS.png
New York Post,Sports,http://nypost.com/sports/feed/,NY Post - Sports,NYP_SP,https://nypost.com/2019/12/19/jets-great-joe-kleckos-hall-of-fame-door-likely-has-closed/,https://stogaccytc001.blob.core.windows.net/images/NYP.jpg
ESPN,Sports,https://www.espn.com/espn/rss/news,ESPN - Sports,ESP_SP,http://www.espn.com/nba/game?gameId=401161061,https://stogaccytc001.blob.core.windows.net/images/espn.jpg
Daily Mail,Science,http://www.dailymail.co.uk/sciencetech/articles.rss,Daily Mail - Science,DAM_SC,https://www.dailymail.co.uk/sciencetech/article-7814115/Half-UK-homes-ultrafast-broadband-155-000-decent-connection.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,https://stogaccytc001.blob.core.windows.net/images/DailyMail.png
Reuters,Politics,http://feeds.reuters.com/reuters/politicsNews,Reuters - Politics,REU_P,http://feeds.reuters.com/~r/Reuters/PoliticsNews/~3/sqWuNuk6eJ8/wine-caves-and-billionaires-buttigieg-under-fire-over-fundraising-at-democratic-debate-idUSKBN1YN1AP,https://stogaccytc001.blob.core.windows.net/images/rie.jpg
CBS News,Politics,http://www.cbsnews.com/latest/rss/politics,CBS News - Politics,CBS_P,https://www.cbsnews.com/news/pragmatic-vs-idealistic-democratic-candidates-2020-elizabeth-warren-joe-biden-bernie-sanders-podcast/,https://stogaccytc001.blob.core.windows.net/images/CBS.png
